DEBUG 15-01 13:56:55,982 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 15-01 13:56:56,007 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 15-01 13:56:56,029 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 15-01 13:56:56,029 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 15-01 13:56:56,042 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 15-01 13:56:56,076 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 15-01 13:56:56,077 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 15-01 13:56:56,079 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 15-01 13:56:58,025 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 15-01 13:59:25,610 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 15-01 13:59:25,611 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 15-01 13:59:25,675 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
DEBUG 18-01 09:14:09,281 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  18-01 09:14:09,286 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /Users/dinghanji/Downloads/PGDSpider_2.1.1.3/spider.conf.xml
DEBUG 18-01 09:14:11,438 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 18-01 09:14:11,439 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 18-01 09:14:11,497 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 18-01 09:14:11,501 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 18-01 09:14:11,506 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 18-01 09:14:11,521 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 18-01 09:14:11,522 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 18-01 09:14:11,533 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 18-01 09:14:11,538 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 18-01 09:14:11,541 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 18-01 09:14:11,541 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 18-01 09:14:11,545 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 18-01 09:14:11,548 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 18-01 09:14:11,551 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 18-01 09:14:11,556 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 18-01 09:14:11,558 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 18-01 09:14:11,560 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 18-01 09:14:11,560 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 18-01 09:14:11,563 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 18-01 09:14:11,566 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 18-01 09:14:11,569 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 18-01 09:14:11,571 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 18-01 09:14:11,573 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 18-01 09:14:11,573 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 18-01 09:14:11,576 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 18-01 09:14:11,577 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 18-01 09:14:11,580 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 18-01 09:14:11,581 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 18-01 09:14:11,584 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 18-01 09:14:11,584 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 18-01 09:14:11,586 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 18-01 09:14:11,589 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 18-01 09:14:11,592 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 18-01 09:14:11,594 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 18-01 09:14:11,594 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 18-01 09:14:11,597 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 18-01 09:14:11,601 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 18-01 09:14:11,602 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 18-01 09:14:11,604 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 18-01 09:14:11,608 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 18-01 09:14:11,611 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 18-01 09:14:11,611 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 18-01 09:14:11,614 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 18-01 09:14:11,626 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 18-01 09:14:11,660 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 18-01 09:14:11,686 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 18-01 09:14:11,686 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 18-01 09:14:11,703 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 18-01 09:14:11,744 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 18-01 09:14:11,746 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 18-01 09:14:11,748 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 18-01 09:14:13,703 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 18-01 09:21:44,047 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 18-01 09:21:44,047 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 18-01 09:21:44,117 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
DEBUG 18-01 09:21:48,347 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  18-01 09:21:48,349 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /Users/dinghanji/Downloads/PGDSpider_2.1.1.3/spider.conf.xml
DEBUG 18-01 09:21:49,520 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 18-01 09:21:49,520 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 18-01 09:21:49,572 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 18-01 09:21:49,575 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 18-01 09:21:49,577 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 18-01 09:21:49,591 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 18-01 09:21:49,592 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 18-01 09:21:49,601 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 18-01 09:21:49,606 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 18-01 09:21:49,608 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
